Modello,Dataset,Parametri della configurazione,True Negative,False Negative,False Positive,True Positive,Precision Negative,Recall Negative,Fscore Negative,Precision Positive,Recall Positive,Fscore Positive,Average Accuracy,Overall Accuracy,GMean,AUC
rf_model.h,Test Set,rf senza bilanciamenti,161888,2753,212,11,"0,9832787702","0,9986921653","0,9909255343","0,04932735426","0,003979739508","0,007365249414","80949,99101","0,9820154794","0,06304391062","0,5013359524"
rf_model.h,Train Set,rf senza bilanciamenti,646037,645,128,22886,"0,999002601","0,9998019082","0,9994020948","0,9944381681","0,9725893502","0,9833924159","334461,9994","0,9988457449","0,9861017636","0,9861956292"
rf_balanced_model.h,Test Set,rf con class weight balanced,161939,2758,161,6,"0,9832540969","0,9990067859","0,9910678495","0,03592814371","0,002170767004","0,004094165814","80972,99115","0,9822944973","0,04656834728","0,5005887765"
rf_balanced_model.h,Train Set,rf con class weight balanced,645038,25,1127,23506,"0,9999612441","0,9982558634","0,999107826","0,954248366","0,9989375717","0,9760817208","334272,4991","0,9982798165","0,9985966594","0,9985967176"
mlp split len(x1).h,Test Set,mlp split len(x1),113606,1974,48494,790,"0,9829209206","0,7008389883","0,8182512244","0,01602954306","0,2858176556","0,03035659391","57198,34694","0,6938810171","0,4475624611","0,4933283219"
mlp split len(x1).h,Train Set,mlp split len(x1),381112,7118,265053,16413,"0,9816655076","0,5898060093","0,7368790452","0,0583125493","0,6975054184","0,1076272881","198762,7968","0,593590226","0,6413991638","0,6436557138"
mlp split len(x1).h,Sample Set,mlp split len(x1),14324,7118,9207,16413,"0,6680346983","0,6087289108","0,6370044249","0,6406323185","0,6975054184","0,6678602673","15368,82656","0,6531171646","0,6516070239","0,6531171646"
mlp.h,Test Set,mlp,162099,2764,1,0,"0,9832345645","0,999993831","0,9915433856",0,0,0,"81049,99161","0,9832286005",0,"0,4999969155"
mlp.h,Train Set,mlp,646140,23430,25,101,"0,9650073928","0,9999613102","0,982173462","0,8015873016","0,004292210276","0,008538698905","323120,9825","0,9649766461","0,06551369484","0,5021267602"
"mlp split len(x1) .h0.50, 0.50",Test Set,"mlp split len(x1) 0.50, 0.50",104805,1739,57295,1025,"0,9836781048","0,6465453424","0,7802519319","0,01757544582","0,3708393632","0,03356034313","52915,32096","0,6419230396","0,4896574957","0,5086923528"
"mlp split len(x1) .h0.50, 0.50",Train Set,"mlp split len(x1) 0.50, 0.50",415098,8007,231067,15524,"0,9810756195","0,6424024823","0,776413815","0,06295444684","0,6597254685","0,1149406564","215311,3215","0,6430111573","0,6510063584","0,6510639754"
"mlp split len(x1) .h0.50, 0.50",Sample Set,"mlp split len(x1) 0.50, 0.50",15686,8007,7845,15524,"0,6620520829","0,6666100038","0,6643232255","0,6642988575","0,6597254685","0,6620042644","15605,33158","0,6631677362","0,6631588023","0,6631677362"
"mlp split len(x1) .h0.45, 0.55",Test Set,"mlp split len(x1) 0.45, 0.55",93784,1437,68316,1327,"0,9849087911","0,5785564466","0,7289261273","0,01905431989","0,4801013025","0,03665391468","47555,78845","0,5769058133","0,527034822","0,5293288745"
"mlp split len(x1) .h0.45, 0.55",Train Set,"mlp split len(x1) 0.45, 0.55",357098,5447,289067,18084,"0,9849756582","0,552642127","0,7080290668","0,05887657862","0,768518125","0,1093739605","187591,2801","0,560227327","0,6517019957","0,660580126"
"mlp split len(x1) .h0.45, 0.55",Sample Set,"mlp split len(x1) 0.45, 0.55",13684,5447,9847,18084,"0,7152788668","0,5815307467","0,6415076649","0,6474526512","0,768518125","0,7028098403","15884,33751","0,6750244359","0,6685184508","0,6750244359"
"mlp split len(x1) .h0.40, 0.60",Test Set,"mlp split len(x1) 0.40, 0.60",91539,1621,70561,1143,"0,9825998283","0,564706971","0,7172216564","0,0159405333","0,4135311143","0,03069774937","46341,28109","0,5621724573","0,4832431096","0,4891190427"
"mlp split len(x1) .h0.40, 0.60",Train Set,"mlp split len(x1) 0.40, 0.60",267067,4114,379098,19417,"0,9848293206","0,4133108417","0,5822601287","0,04872338557","0,8251668012","0,09201366676","143242,2139","0,4277821579","0,5839951927","0,6192388214"
"mlp split len(x1) .h0.40, 0.60",Sample Set,"mlp split len(x1) 0.40, 0.60",10024,4114,13507,19417,"0,7090111756","0,4259912456","0,5322148186","0,5897521565","0,8251668012","0,6878752989","14720,81279","0,6255790234","0,5928860206","0,6255790234"
"mlp split len(x1) .h0.35, 0.65",Test Set,"mlp split len(x1) 0.35, 0.65",64028,1126,98072,1638,"0,9827178684","0,3949907465","0,5634928318","0,01642764016","0,5926193922","0,03196908484","32833,19915","0,3983040567","0,4838172962","0,4938050693"
"mlp split len(x1) .h0.35, 0.65",Train Set,"mlp split len(x1) 0.35, 0.65",223177,2611,422988,20920,"0,9884360551","0,3453870142","0,5119014442","0,04712688215","0,8890399898","0,08950900545","122048,6822","0,3644892608","0,5541325361","0,617213502"
"mlp split len(x1) .h0.35, 0.65",Sample Set,"mlp split len(x1) 0.35, 0.65",8526,2611,15005,20920,"0,7655562539","0,3623305427","0,4918656975","0,5823242867","0,8890399898","0,7037136706","14723,31284","0,6256852662","0,5675617517","0,6256852662"
"mlp split len(x1) .h0.30, 0.70",Test Set,"mlp split len(x1) 0.30, 0.70",64293,1216,97807,1548,"0,9814376651","0,3966255398","0,5649425111","0,01558049419","0,5600578871","0,03031757068","32920,69968","0,3993655377","0,4713101546","0,4783417135"
"mlp split len(x1) .h0.30, 0.70",Train Set,"mlp split len(x1) 0.30, 0.70",155147,1880,491018,21651,"0,9880275367","0,2401043077","0,386326059","0,04223192742","0,9201053929","0,08075718016","88399,132","0,2639973958","0,4700226254","0,5801048503"
"mlp split len(x1) .h0.30, 0.70",Sample Set,"mlp split len(x1) 0.30, 0.70",5920,1880,17611,21651,"0,758974359","0,2515830181","0,377900482","0,5514492384","0,9201053929","0,6895991591","13785,79292","0,5858442055","0,4811266899","0,5858442055"
"mlp split len(x1) .h0.25, 0.75",Test Set,"mlp split len(x1) 0.25, 0.75",77909,1311,84191,1453,"0,9834511487","0,4806230722","0,6456903696","0,01696557844","0,5256874096","0,03287032848","39681,24069","0,4813785908","0,5026504728","0,5031552409"
"mlp split len(x1) .h0.25, 0.75",Train Set,"mlp split len(x1) 0.25, 0.75",162361,1275,483804,22256,"0,992208316","0,2512686388","0,4009898728","0,04397897483","0,9458161574","0,08404976671","92308,63784","0,2756728426","0,4874976292","0,5985423981"
"mlp split len(x1) .h0.25, 0.75",Sample Set,"mlp split len(x1) 0.25, 0.75",6282,1275,17249,22256,"0,8312822549","0,2669669797","0,4041430777","0,5633717251","0,9458161574","0,7061361762","14269,3032","0,6063915686","0,5024954556","0,6063915686"
"mlp split len(x1) .h0.20, 0.80",Test Set,"mlp split len(x1) 0.20, 0.80",8228,198,153872,2566,"0,9765013055","0,05075879087","0,09650141327","0,01640266431","0,9283646889","0,03223577593","5397,032736","0,06547214674","0,2170775647","0,4895617399"
"mlp split len(x1) .h0.20, 0.80",Train Set,"mlp split len(x1) 0.20, 0.80",27259,175,618906,23356,"0,9936210542","0,04218581941","0,08093539331","0,03636522167","0,992563002","0,07015994461","25307,53779","0,07557906871","0,2046266932","0,5173744107"
"mlp split len(x1) .h0.20, 0.80",Sample Set,"mlp split len(x1) 0.20, 0.80",1052,175,22479,23356,"0,8573757131","0,04470698228","0,08498263188","0,5095669248","0,992563002","0,6734134879","12204,25932","0,5186349921","0,2106525493","0,5186349921"
"mlp split len(x1) .h0.15, 0,85",Test Set,"mlp split len(x1) 0.15, 0,85",9822,189,152278,2575,"0,9811207672","0,06059222702","0,114135645","0,01662867365","0,9316208394","0,03267414048","6198,537598","0,0751953125","0,2375899438","0,4961065332"
"mlp split len(x1) .h0.15, 0,85",Train Set,"mlp split len(x1) 0.15, 0,85",32392,255,613773,23276,"0,9921891751","0,05012961086","0,09543732285","0,03653722084","0,9891632315","0,07047140392","27834,04156","0,08312428326","0,2226799674","0,5196464212"
"mlp split len(x1) .h0.15, 0,85",Sample Set,"mlp split len(x1) 0.15, 0,85",1239,255,22292,23276,"0,8293172691","0,05265394586","0,09902097902","0,5107970506","0,9891632315","0,6737000535","12257,76045","0,5209085887","0,2282177628","0,5209085887"
"mlp split len(x1) .h0.10, 0.90",Test Set,"mlp split len(x1) 0.25, 0.75",515,8,161585,2756,"0,9847036329","0,003177051203","0,006333667439","0,0167700087","0,997105644","0,0329852488","1635,50992","0,01984059589","0,05628370711","0,5001413476"
"mlp split len(x1) .h0.10, 0.90",Train Set,"mlp split len(x1) 0.25, 0.75",1916,1,644249,23530,"0,9994783516","0,00296518691","0,005912832018","0,03523620839","0,9999575029","0,06807365726","12723,019","0,03799634461","0,05445237275","0,5014613449"
"mlp split len(x1) .h0.10, 0.90",Sample Set,"mlp split len(x1) 0.25, 0.75",82,1,23449,23530,"0,9879518072","0,003484764778","0,006945032608","0,5008620873","0,9999575029","0,6674230606","11806,25086","0,5017211338","0,05903064192","0,5017211338"
"mlp split len(x1) .h0.05, 0.95",Test Set,"mlp split len(x1) 0.05, 0.95",311,9,161789,2755,"0,971875","0,001918568785","0,003829577638","0,01674324193","0,9967438495","0,03293327277","1533,009299","0,01859714674","0,04373009989","0,4993312091"
"mlp split len(x1) .h0.05, 0.95",Train Set,"mlp split len(x1) 0.05, 0.95",923,5,645242,23526,"0,994612069","0,001428427724","0,002852758413","0,03517811857","0,9997875143","0,06796485334","12224,51825","0,03650760942","0,0377905306","0,500607971"
"mlp split len(x1) .h0.05, 0.95",Sample Set,"mlp split len(x1) 0.05, 0.95",37,5,23494,23526,"0,880952381","0,001572393863","0,00313918466","0,5003402807","0,9997875143","0,6669218013","11781,75034","0,5006799541","0,03964920872","0,5006799541"
"mlp split len(x1) .h0, 1",Test Set,"mlp split len(x1) 0, 1",0,0,162100,2764,0,0,0,"0,01676533385",1,"0,03297778414","1382,008383","0,01676533385",0,"0,5"
"mlp split len(x1) .h0, 1",Train Set,"mlp split len(x1) 0, 1",0,0,646165,23531,0,0,0,"0,03513683821",1,"0,06788829633","11765,51757","0,03513683821",0,"0,5"
"mlp split len(x1) .h0, 1",Sample Set,"mlp split len(x1) 0, 1",0,0,23531,23531,0,0,0,"0,5",1,"0,6666666667","11765,75","0,5",0,"0,5"
rf_splitlen(X1)_GridSearch_model.h,Test Set,rf split len(X1) GridSearch,76916,1294,85184,1470,"0,9834548012","0,4744972239","0,6401398194","0,01696401782","0,5318379161","0,03287928605","39193,23773","0,4754585598","0,5023500918","0,50316757"
rf_splitlen(X1)_GridSearch_model.h,Train Set,rf split len(X1) GridSearch,330013,4370,316152,19161,"0,9869311538","0,5107255887","0,6731195209","0,05714362402","0,8142875356","0,1067929239","174587,2607","0,5213917957","0,644885634","0,6625065621"
rf_splitlen(X1)_GridSearch_model.h,Sample Set,rf split len(X1) GridSearch,12996,4370,10535,19161,"0,7483588621","0,5522927202","0,6355478397","0,6452384159","0,8142875356","0,7199729461","16078,84165","0,6832901279","0,6706154473","0,6832901279"